animals,fatlean
A,0.0186480186
A,0.0716833096
A,0.0457133289
A,0.0661692519
A,0.0754468485
A,0.0740674639
A,0.3937061354
A,0.0913929161
A,0.1152099886
A,0.1178247734
A,0.1385889129
A,0.0829006577
A,0.1160752458
A,0.0725438386
A,0.1043322225
A,0.1349664895
A,0.0980587357
A,0.0224673203
A,0.0465495381
A,0.2027224113
A,0.1610403985
A,0.1055527764
A,0.1525129983
A,0.1444924955
A,0.177662466
A,0.1636926005
A,0.1501278772
A,0.0595628415
A,0.0413569659
A,0.0370776256
A,0.0457132018
A,0.1898610773
A,0.1319838057
A,0.0797484277
A,0.2097850259
A,0.131042654
A,0.1226487524
A,0.0745274527
A,0.0702617595
A,0.1587265231
A,0.0690664829
A,0.0864624506
A,0.206404154
A,0.045024527
A,0.0250671441
A,0.0913576046
A,0.049382716
A,0.0501846257
A,0.1044845123
A,0.0816281628
A,0.1084738243
A,0.1299485574
A,0.0792838875
A,0.0794776119
A,0.0608184919
A,0.1586483391
A,0.2200188857
A,0.1597064034
A,0.118746564
A,0.1625652498
A,0.1248487781
A,0.1892848117
A,0.1948850761
A,0.193650266
A,0.267626132
A,0.235892692
A,0.0771208226
A,0.2184476457
A,0.1561787506
A,0.2085620198
A,0.1972222222
A,0.0328201658
A,0.1611374408
A,0.1118577075
A,0.0982028241
A,0.0804208274
A,0.1366316329
A,0.0942653212
A,0.0897591827
A,0.0850407579
A,0.0583714167
A,0.0539001708
A,0.179020979
A,0.096810089
A,0.0498018266
A,0.031591952
A,0.2392814371
A,0.1329365079
A,0.1340408163
A,0.0933581837
A,0.1828333333
A,0.2173515982
A,0.164221486
A,0.1736060385
A,0.1458227848
A,0.0842925447
A,0.1108395881
A,0.2510779436
A,0.0793151642
A,0.2233197337
A,0.314188367
A,0.183029453
A,0.1928967814
A,0.0518207283
A,0.0784347826
A,0.0938917976
A,0.0343849699
A,0.0618926596
A,0.2332838039
A,0.2459330144
A,0.036947642
A,0.0524792591
A,0.0607791148
A,0.068747364
A,0.0767298029
A,0.1635868508
A,0.102329831
A,0.1690110827
A,0.1314285714
A,0.0981053724
A,0.129810977
A,0.0517396791
A,0.1490348924
A,0.0351549484
A,0.0909090909
A,0.2142699359
A,0.164244186
A,0.1371549894
A,0.1556338028
A,0.0965726188
A,0.1256131745
A,0.1443261772
A,0.1463644948
A,0.0989533777
A,0.0890467085
A,0.1575144509
A,0.0977961433
A,0.1180957391
A,0.0955134135
A,0.0496883022
A,0.1315529179
A,0.0668048837
A,0.1078809902
A,0.2133828996
A,0.0999734113
A,0.0923423423
A,0.0566842747
A,0.1150140506
A,0.1001906376
A,0.0932426503
A,0.1088206145
A,0.1474791049
A,0.0819057816
A,0.1084169454
A,0.0348837209
A,0.0640718563
A,0.0598617176
A,0.0680505415
A,0.0255650241
A,0.0958871353
A,0.1536064114
A,0.1484774394
A,0.1181610942
A,0.1341642229
A,0.185786802
A,0.1224191485
A,0.1742177722
A,0.164898524
A,0.1124799143
A,0.1539008774
A,0.2023572076
A,0.1563106796
A,0.1031634092
A,0.2539202721
A,0.1421209118
A,0.062974359
A,0.4003540718
A,0.1252259231
A,0.3254139669
A,0.0457266378
A,0.1408703454
A,0.1368396002
A,0.1595027391
A,0.0321942446
A,0.0796772567
A,0.093935169
A,0.0889720234
A,0.0529490617
A,0.1088039867
A,0.1284320399
A,0.1431701972
A,0.1010762752
A,0.1791416131
A,0.1228131561
A,0.1320719016
A,0.1342713568
A,0.2556270096
A,0.2164975974
A,0.2059709669
A,0.196894228
A,0.2546491446
A,0.206518685
A,0.1313262393
A,0.081291548
A,0.1039059537
A,0.0626450116
A,0.0727474151
A,0.1032488518
A,0.0744903791
A,0.0654473731
A,0.0550494282
A,0.1066588097
A,0.0896712702
A,0.1275767293
A,0.1359593393
A,0.2262882748
A,0.1313047103
A,0.1050080775
A,0.0668546114
A,0.0800309298
A,0.1324616259
A,0.141842172
A,0.1044472681
A,0.163287375
A,0.1511803114
A,0.1651114074
A,0.1471990465
A,0.1140107348
A,0.1683848797
A,0.1836928182
A,0.1965601966
A,0.2393258427
A,0.2073529412
A,0.0342429106
A,0.1244323342
A,0.1332221163
A,0.1118949161
A,0.1649855908
A,0.1486452266
A,0.1727722772
A,0.1077570435
A,0.1385660647
A,0.2482027318
A,0.1570492496
A,0.0723411913
A,0.0747314339
A,0.0403920906
A,0.0281471248
A,0.1718671364
A,0.199416193
A,0.2062943424
A,0.1428571429
A,0.1148785425
A,0.0330592105
A,0.040763507
A,0.2119717152
A,0.1770923583
A,0.072041473
A,0.2049254406
A,0.0248783126
A,0.0486910995
A,0.108632041
A,0.0956363636
A,0.1571801567
A,0.077868112
A,0.2026462396
A,0.085061696
A,0.1540737369
A,0.1664998999
A,0.1000351
A,0.1331463099
A,0.1445054945
A,0.1092117759
A,0.1979381443
A,0.1976225854
A,0.1679494228
A,0.1426137746
A,0.142494929
A,0.1761247444
A,0.1657216495
A,0.1236162362
A,0.1475381415
A,0.2081055608
A,0.1180102311
A,0.0638184719
A,0.1101969584
A,0.1023603083
A,0.2115480338
A,0.0677842566
A,0.1772786742
A,0.0966512934
A,0.1453439597
A,0.1381506699
A,0.098410875
A,0.2254901961
A,0.2344931921
A,0.0844235991
A,0.205135209
A,0.1167969675
A,0.1270398315
A,0.1646754281
A,0.109929078
A,0.1457124436
A,0.0740667588
A,0.1144197798
A,0.0441039058
A,0.0937179925
A,0.097956899
A,0.1048366013
A,0.0834165834
A,0.0636669156
A,0.0807620625
A,0.0925520263
A,0.0648892374
A,0.0662961493
A,0.1315319908
A,0.0994523936
A,0.0691765579
A,0.0735294118
A,0.0637358418
A,0.0976220275
A,0.1292213229
A,0.1500242365
A,0.2137302226
A,0.368852459
A,0.2864003493
A,0.1428025234
A,0.3199629029
A,0.1464809749
A,0.146648673
A,0.1730673317
A,0.2067200712
A,0.5826978701
A,0.0819063338
A,0.0958265802
A,0.1042907001
A,0.092348285
A,0.0780247969
A,0.1540184125
A,0.1207453416
A,0.1049046322
A,0.0720312822
A,0.1333333333
A,0.1722397476
A,0.117671093
A,0.1632255551
A,0.2200077399
A,0.1186577181
A,0.2099165894
A,0.097955707
A,0.1705490849
A,0.1214905564
A,0.1073669533
A,0.1365338031
A,0.1337553604
A,0.1766848816
A,0.1194567627
A,0.1711471919
A,0.1459403905
A,0.1594341884
A,0.1804919908
A,0.0995586937
A,0.1060034305
A,0.1478717992
A,0.0436271859
A,0.0246807042
A,0.2355677733
A,0.060029017
A,0.0655153997
A,0.1139937107
A,0.2009750813
A,0.2321473003
A,0.1190992946
A,0.1291390728
A,0.1416646207
A,0.1093066833
A,0.1071223983
A,0.1413333333
A,0.1072326166
A,0.1389373909
A,0.0588967972
A,0.0730186999
A,0.0707466758
A,0.0544831319
A,0.0424325717
A,0.0769822941
A,0.0693345742
