ID-Nr       	fat/lean70
7984-1405	0.0186480186
7984-1406	0.0716833096
7984-1407	0.0457133289
7984-1408	0.0661692519
7984-1409	0.0754468485
7984-1410	0.0740674639
7984-1411	0.3937061354
7984-1412	0.0913929161
7984-1413	0.1152099886
7984-1414	0.1178247734
7984-1415	0.1385889129
7984-1416	0.0829006577
7984-1417	0.1160752458
7984-1418	0.0725438386
7984-1419	0.1043322225
7984-1420	0.1349664895
7984-1421	0.0980587357
7984-1422	0.0224673203
7984-1423	0.0465495381
7984-1424	0.2027224113
7984-1425	0.1610403985
7984-1426	0.1055527764
7984-1427	0.1525129983
7984-1428	0.1444924955
7984-1429	0.1776624660
7984-1430	0.1636926005
7984-1431	0.1501278772
7984-1432	0.0595628415
7984-1433	0.0413569659
7984-1434	0.0432462275
7984-1435	0.0370776256
7984-1436	0.0457132018
7984-1437	0.1898610773
7984-1438	0.1319838057
7984-1439	0.1538273416
7984-1440	0.0797484277
7984-1441	0.2097850259
7984-1442	0.1310426540
7984-1443	0.1226487524
7984-1444	0.0745274527
7984-1445	0.0702617595
7984-1446	0.1204108392
7984-1447	0.0927543073
7984-1448	0.0985915493
7984-1449	0.1587265231
7984-1450	0.0690664829
7984-1451	0.0720290094
7984-1452	0.0855184233
7984-1453	0.0279699691
7984-1454	0.0864624506
7984-1455	0.2064041540
7984-1456	0.1287301242
7984-1457	0.0450245270
7984-1458	0.0250671441
7984-1459	0.0913576046
7984-1460	0.0493827160
7984-1461	0.0501846257
7984-1462	0.1044845123
7984-1463	0.0816281628
7984-1465	0.1084738243
7984-1466	0.1299485574
7984-1467	0.0792838875
7984-1468	0.0794776119
7984-1469	0.0608184919
7984-1470	0.1586483391
7984-1471	0.2200188857
7984-1472	0.1597064034
7984-1473	0.1187465640
7984-1474	0.1625652498
7984-1475	0.1248487781
7984-1476	0.1892848117
7984-1477	0.1948850761
7984-1478	0.1936502660
7984-1479	0.1355382620
7984-1480	0.2676261320
7984-1481	0.2070918493
7984-1482	0.2358926920
7984-1483	0.0771208226
7984-1484	0.0717686475
7984-1485	0.2184476457
7984-1486	0.1561787506
7984-1487	0.2085620198
7984-1488	0.1972222222
7984-1489	0.0756087142
7984-1490	0.0328201658
7984-1492	0.0359748011
7984-1493	0.1611374408
7984-1494	0.1328052190
7984-1495	0.1517285531
7984-1496	0.1429794521
7984-1497	0.2615384615
7984-1499	0.0500685871
7984-1500	0.0472596586
7984-1501	0.1118577075
7984-1502	0.0982028241
7984-1503	0.0804208274
7984-1504	0.1366316329
7984-1505	0.0942653212
7984-1506	0.0897591827
7984-1507	0.0850407579
7984-1508	0.0583714167
7984-1509	0.0539001708
7984-1510	0.1790209790
7984-1511	0.0968100890
7984-1512	0.0498018266
7984-1513	0.0315919520
7984-1514	0.2392814371
7984-1515	0.1329365079
7984-1516	0.1340408163
7984-1517	0.0933581837
7984-1518	0.1828333333
7984-1519	0.2173515982
7984-1520	0.1642214860
7984-1521	0.1736060385
7984-1523	0.2213094349
7984-1524	0.1458227848
7984-1525	0.0842925447
7984-1526	0.1108395881
7984-1527	0.2510779436
7984-1528	0.0793151642
7984-1529	0.2233197337
7984-1530	0.1314704535
7984-1531	0.1844018506
7984-1532	0.3141883670
7984-1533	0.1830294530
7984-1534	0.1928967814
7984-1535	0.0518207283
7984-1536	0.0784347826
7984-1537	0.0938917976
7984-1538	0.0343849699
7984-1539	0.0618926596
7984-1540	0.2332838039
7984-1541	0.2459330144
7984-1542	0.2844114528
7984-1543	0.0369476420
7984-1544	0.0524792591
7984-1545	0.0607791148
7984-1546	0.0687473640
7984-1547	0.0767298029
7984-1548	0.1635868508
7984-1549	0.1023298310
7984-1550	0.1690110827
7984-1551	0.1314285714
7984-1552	0.0981053724
7984-1553	0.1298109770
7984-1554	0.0517396791
7984-1555	0.1490348924
7984-1556	0.0967315322
7984-1557	0.0351549484
7984-1558	0.0909090909
7984-1559	0.0230769231
7984-1560	0.2142699359
7984-1561	0.3656895723
7984-1562	0.1642441860
7984-1563	0.1371549894
7984-1564	0.1556338028
7984-1565	0.0965726188
7984-1566	0.1256131745
7984-1567	0.1443261772
7984-1568	0.1463644948
7984-1569	0.0989533777
7984-1570	0.0890467085
7984-1571	0.1575144509
7984-1572	0.0977961433
7984-1573	0.1180957391
7984-1574	0.0955134135
7984-1575	0.1025197628
7984-1576	0.0492170022
