ID-Nr	fat/lean70
8015-1222	0.0383834281
8015-1223	0.0642730496
8015-1224	0.0934504792
8015-1225	0.1058410189
8015-1226	0.1004810262
8015-1227	0.0575133916
8015-1228	0.1182526433
8015-1229	0.0902714932
8015-1230	0.1323698096
8015-1231	0.1319970667
8015-1232	0.1761565836
8015-1233	0.0847900342
8015-1234	0.0865384615
8015-1235	0.1117890179
8015-1236	0.0756334540
8015-1237	0.1137812653
8015-1238	0.1225944405
8015-1239	0.1645120406
8015-1240	0.0927704752
8015-1241	0.1068680536
8015-1242	0.0836606441
8015-1243	0.1403375687
8015-1244	0.0616507808
8015-1245	0.0715985720
8015-1246	0.0643478261
8015-1247	0.0495588998
8015-1248	0.1095617530
8015-1249	0.0860791826
8015-1250	0.0929962894
8015-1251	0.0658044021
8015-1252	0.0909267158
8015-1253	0.0472271914
8015-1254	0.1734220609
8015-1255	0.1136624569
8015-1256	0.1192220258
8015-1257	0.1417127072
8015-1258	0.1235898721
8015-1259	0.1306187203
8015-1260	0.0854651163
8015-1261	0.0854716633
8015-1262	0.0935181570
8015-1263	0.1158080141
8015-1264	0.1151107595
8015-1265	0.1633103448
8015-1266	0.0796822957
8015-1267	0.0906220984
8015-1268	0.1022375841
8015-1269	0.1503255458
8015-1270	0.0355716878
8015-1271	0.0588130775
8015-1272	0.0786234614
8015-1273	0.0583294447
8015-1274	0.0155181045
8015-1275	0.0182493041
8015-1276	0.1051825935
8015-1277	0.1272848863
8015-1278	0.1744301288
8015-1279	0.0669546436
8015-1280	0.0503931380
8015-1281	0.0721630555
8015-1282	0.0623454610
8015-1283	0.0703988467
8015-1284	0.0792201382
8015-1285	0.1250596659
8015-1286	0.0484848485
8015-1287	0.0650940050
8015-1288	0.0571901434
8015-1289	0.0215203054
8015-1290	0.0469046715
8015-1291	0.1022016222
8015-1292	0.0894788594
8015-1293	0.1650528169
8015-1294	0.0745810715
8015-1295	0.1649411765
8015-1296	0.1046102574
8015-1297	0.0846020009
8015-1298	0.1217736598
8015-1299	0.0809107542
8015-1300	0.0943296237
8015-1301	0.0742424242
8015-1302	0.0735487260
8015-1303	0.0431912486
8015-1304	0.0692412717
8015-1305	0.0863349424
8015-1306	0.0834127741
8015-1307	0.1172552977
8015-1308	0.0561632310
8015-1309	0.0672016048
8015-1310	0.1272727273
8015-1311	0.1048186786
8015-1312	0.0766512039
8015-1313	0.1134751773
8015-1314	0.1565714286
8015-1315	0.0890669180
8015-1316	0.0499260355
8015-1317	0.0459203036
8015-1318	0.0804965206
8015-1319	0.0794383891
8015-1320	0.1160372195
8015-1321	0.1529843893
8015-1322	0.0822968491
8015-1323	0.0775552131
8015-1324	0.0766328012
8015-1325	0.1407888168
8015-1326	0.1760936810
8015-1327	0.1440266053
8015-1328	0.0270220588
8015-1329	0.0650077160
8015-1330	0.0617185950
8015-1331	0.1072586680
8015-1332	0.1458123108
8015-1333	0.0871499607
8015-1334	0.0502293578
8015-1335	0.1234986945
8015-1336	0.1153028693
8015-1337	0.1191682218
8015-1338	0.0751430057
8015-1339	0.1045932485
8015-1340	0.0550998573
8015-1341	0.0342391304
8015-1342	0.0702981229
8015-1343	0.1072060683
8015-1344	0.0901518863
8015-1345	0.1324536920
8015-1346	0.0718048780
8015-1347	0.1417277285
8015-1348	0.0645743146
8015-1349	0.0472455649
8015-1350	0.1199905146
8015-1351	0.1394029114
8015-1352	0.1201946472
8015-1353	0.1153004135
8015-1354	0.1258657750
8015-1355	0.1523883697
8015-1356	0.0496906057
8015-1357	0.0691270139
8015-1358	0.0230686695
8015-1359	0.1071217203
8015-1360	0.1072555205
8015-1361	0.1206476323
8015-1362	0.1369086549
8015-1363	0.1307464162
8015-1364	0.1380803464
8015-1365	0.0793172691
8015-1366	0.0654354765
8015-1367	0.0511432010
8015-1368	0.0738498789
8015-1369	0.0442974544
8015-1370	0.0684529271
8015-1371	0.1042424242
8015-1372	0.0402939686
8015-1373	0.0631760079
8015-1374	0.1023139113
8015-1375	0.0434666667
8015-1376	0.0869877786
8015-1377	0.0729042511
